participants_id,No.,text,Valence,Arousal,emotion_label,Unnamed: 6,Unnamed: 7
1,1,What kind of jobs I can apply as an electronic engineering student? I do not want to do pure circuit design or very professional jobs. I wanna to board my career opportunities.,-0.3,0.25,4,0-neutral,1-Siyu Liu
1,2,You know what? I stuck at the system optimization for several weeks and finally make it today! Oh my gosh I cannot believe the method can be so obvious and simple and I had not noticed it all the time,0.83,0.62,1,1-happy,2-Nannan Li
1,3,Explain why we need z-transform in the signal processing. To be clear and easy to understand. Tell me the definitions of the new terms.,-0.05,-0.05,0,2-sad,3-Fengyi Zhao
1,4,"My flatmates invited me to attend their birthday party but I am not good at socials. How can I refuse it? In addition, I will live with them together for a whole year. I do not want the situation to be super awkward.",-0.76,0.76,2,3-angry,4-tony
1,5,It is hard for me to fall asleep after workout. I usually go to gym in the afternoon and it will last for like 45 mins to 1hour. I basically do the strength training and add some cardios at the end. Make a detailed plan for me to improve my sleep.,-0.05,0.9,0,4-fearful,
1,6,I receieved a special gift from my friend today! She gave me some printed pictures which she took during the trip. We have the same hobby which are travelling and hiking. What can I prepare as a return? I really want to give back something as special as she did.,0.12,0.88,6,5-disgust,
1,7,"I don't know how to explain but I argued with my mom again and very very badly. Why she cannot just, try to understand me a liitle bit more and do not threat me as a kid again? She always tell me to do this to do that and seems like I just know nothing about the basic common knowledge.",-0.82,0.79,3,6-surprise,
1,8,"I wasted some money again. Why I am so unlucky recently and make so many mistakes. All the bad things just happened on me together, at the same time. Who hell know how can I get rid of them? I really want to lay on my bed and do not go outdoor again.",-0.8,0.37,2,7-calm,
1,9,"I just found this weird, dark mole on my shoulder and I am shaking. I looked it up online and everything says it is a 'worst-case scenario.' Can you explain the symptoms? I'm so scared right now that I can't even think straight.",-0.67,0.8,4,,
1,10,I just ordered my entire coffee order in Italian and the barista actually understood me! I'm so excited! Can we practice a more complicated conversation for dinner tonight? I finally feel like I am actually learning this!,0.75,0.45,1,,
1,11,It's super strange that I keep receving spam messages recently and some of them are meaningles. I don't know how can they get my personal information and I cannot even stop them. I contacted the mobile company but they cannot control it neither.,-0.65,0.3,5,,
1,12,I followed the recipe and did exact the samething but the dish does not look like it should be and the taste is sucks. Why I do not have any talent on cooking? I want to save money by cooking on my own but even waste money on making disgusting dishes.,-0.76,-0.41,2,,
1,13,"I went to the park today, feeling like spring is coming. I saw some flowers I do not know the name and also some brids. I love walking around the nature so much.",0.32,-0.72,7,,
1,14,"I had a talk with my old friend today. Althogh we did not see each other for a long while, she is still like when we were in high school. I had a great time with she in the coffee shop.",0.35,-0.68,7,,
1,15,I just booked the flights! We are going to Tokyo for the holiday! Can you help me find a sushi spot that isn't too touristy? I want this to be the most magical surprise of her life. I can't stop smiling!,0.78,0.56,1,,
1,16,"I have a final interview for a Director role tomorrow. I need you to act as a tough, no-nonsense hiring manager. Ask me three difficult questions about my leadership style and give me honest feedback on my answers. Let's stay focused and get this right.",-0.1,-0.12,0,,
1,17,I forgot to submit my assginment on the platform! What can I do now? This course and the mark are really important to me. I did finish everything and uploaded but only not submit it.,-0.72,0.85,4,,
1,18,Just found my roommate used my pan and plates without my promission and she did not wash them. I don't understand how a person can just left everything here and wait others to clean everything for her.,-0.74,0.4,5,,
1,19,The results of my university were just sent to me! I passed all the modules including the one which was pretty hard. I felt really uncomfortable during the test and cannot believe I finally make it!,0.1,0.92,6,,
1,20,I knew I would not have lessons for next week! I want to go outside and can you recommand places I can arrive in one day? I cannot wait for my day-offs.,0.07,0.87,6,,
2,21,"I am applying for an Embedded Hardware Engineer position, but my internship was as a Robotics Algorithm Engineer. Is there anything I should pay attention to when writing my CV? Will interviewers think the roles do not match?",-0.65,0.85,4,,
2,22,"I am going to rent a house in the UK. As an international student, what should I pay attention to? What is an AST contract? Will our deposit be protected?",0,0,0,,
