scenario_id,source_affect_id,participants_id,text_no,subject_id,trial,valence_true,arousal_true,valence_noisy,arousal_noisy,HR,RMSSD,SDNN,pNN50,emotion_label,risk_tier,matched_by,match_ok
p1_n1,p1_n1,1,1,1,1,-0.3,0.25,-0.16435998910350882,0.13414557679688444,83.8,21.5,44.2,7.1,fearful,M,direct_text_va_emo_row,True
p1_n1,p1_n1,1,1,2,1,-0.3,0.25,-0.5877483943555757,0.343924504586418,83.6,21.6,14.2,7.0,fearful,M,direct_text_va_emo_row,True
p1_n1,p1_n1,1,1,3,1,-0.3,0.25,-0.3752759238973222,-0.11963049759185684,85.9,11.8,32.7,7.4,fearful,M,direct_text_va_emo_row,True
p1_n1,p1_n1,1,1,4,1,-0.3,0.25,-0.41979355946132246,0.20358525583404571,78.6,20.3,39.6,14.6,fearful,M,direct_text_va_emo_row,True
p1_n1,p1_n1,1,1,5,1,-0.3,0.25,-0.37475183761646685,0.2729401941338756,83.0,23.3,38.0,8.9,fearful,M,direct_text_va_emo_row,True
p1_n1,p1_n1,1,1,6,1,-0.3,0.25,-0.3980270382830394,-0.11587873703302964,77.3,38.2,39.0,18.2,fearful,M,direct_text_va_emo_row,True
p1_n1,p1_n1,1,1,7,1,-0.3,0.25,-0.3066284688623042,0.2650575524852566,83.5,17.0,31.5,13.4,fearful,M,direct_text_va_emo_row,True
p1_n1,p1_n1,1,1,8,1,-0.3,0.25,-0.2750871587280897,0.1241310864709502,84.8,36.6,21.7,25.2,fearful,M,direct_text_va_emo_row,True
p1_n1,p1_n1,1,1,9,1,-0.3,0.25,-0.1045442820556724,-0.05923767771952049,72.1,25.9,50.1,10.8,fearful,M,direct_text_va_emo_row,True
p1_n1,p1_n1,1,1,10,1,-0.3,0.25,-0.010351105248148973,0.044829420412072385,87.6,38.2,26.2,16.9,fearful,M,direct_text_va_emo_row,True
p1_n2,p1_n2,1,2,1,1,0.83,0.62,1.0,0.7764168369412515,73.3,21.0,38.7,12.8,happy,M,direct_text_va_emo_row,True
p1_n2,p1_n2,1,2,2,1,0.83,0.62,0.6090356409497167,0.658431276486382,78.8,22.8,22.6,16.1,happy,M,direct_text_va_emo_row,True
p1_n2,p1_n2,1,2,3,1,0.83,0.62,0.9928478128264495,0.5411826888399136,71.4,12.8,49.4,15.9,happy,M,direct_text_va_emo_row,True
p1_n2,p1_n2,1,2,4,1,0.83,0.62,0.6474083420707157,0.6741146473954938,66.3,43.5,17.8,23.3,happy,M,direct_text_va_emo_row,True
p1_n2,p1_n2,1,2,5,1,0.83,0.62,0.6666676918565719,1.0,76.4,45.3,33.4,17.5,happy,M,direct_text_va_emo_row,True
p1_n2,p1_n2,1,2,6,1,0.83,0.62,0.7668579621517099,0.3080542045087876,79.3,50.1,43.5,20.3,happy,M,direct_text_va_emo_row,True
p1_n2,p1_n2,1,2,7,1,0.83,0.62,0.9955326686302617,1.0,86.6,45.0,41.2,24.5,happy,M,direct_text_va_emo_row,True
p1_n2,p1_n2,1,2,8,1,0.83,0.62,1.0,0.7774072104809031,73.1,32.6,34.6,17.4,happy,M,direct_text_va_emo_row,True
p1_n2,p1_n2,1,2,9,1,0.83,0.62,0.8352509604081897,0.790488242823741,89.8,29.1,56.2,11.9,happy,M,direct_text_va_emo_row,True
p1_n2,p1_n2,1,2,10,1,0.83,0.62,0.8489511395484315,0.45070957212197205,100.2,22.5,27.5,9.5,happy,M,direct_text_va_emo_row,True
p1_n3,p1_n3,1,3,1,1,-0.05,-0.05,-0.10336178792796182,0.027726891399501144,66.9,45.4,53.5,23.6,neutral,M,direct_text_va_emo_row,True
p1_n3,p1_n3,1,3,2,1,-0.05,-0.05,0.00602312045260419,-0.04685189980455129,69.0,42.3,38.5,25.8,neutral,M,direct_text_va_emo_row,True
p1_n3,p1_n3,1,3,3,1,-0.05,-0.05,-0.18143875542019028,-0.23978316538842448,90.9,34.1,62.6,14.1,neutral,M,direct_text_va_emo_row,True
p1_n3,p1_n3,1,3,4,1,-0.05,-0.05,-0.44860691469859176,-0.1998437557384432,74.4,25.4,74.1,12.6,neutral,M,direct_text_va_emo_row,True
p1_n3,p1_n3,1,3,5,1,-0.05,-0.05,-0.021081341426785336,0.24482429601595662,74.6,51.7,69.0,29.5,neutral,M,direct_text_va_emo_row,True
p1_n3,p1_n3,1,3,6,1,-0.05,-0.05,0.32558926302400704,-0.031476304895056206,82.5,23.8,56.3,12.2,neutral,M,direct_text_va_emo_row,True
p1_n3,p1_n3,1,3,7,1,-0.05,-0.05,0.18878558012530955,-0.2964315115838859,54.4,36.6,25.6,16.8,neutral,M,direct_text_va_emo_row,True
p1_n3,p1_n3,1,3,8,1,-0.05,-0.05,-0.18262528690263186,-0.19395456016117002,59.5,59.4,46.8,29.9,neutral,M,direct_text_va_emo_row,True
p1_n3,p1_n3,1,3,9,1,-0.05,-0.05,-0.40556342739941853,-0.21164322106063166,74.9,49.0,105.1,25.8,neutral,M,direct_text_va_emo_row,True
p1_n3,p1_n3,1,3,10,1,-0.05,-0.05,-0.3996418934547853,0.09074230917264271,62.8,54.3,55.8,24.9,neutral,M,direct_text_va_emo_row,True
p1_n4,p1_n4,1,4,1,1,-0.76,0.76,-0.5721532191570528,0.34264867971965707,87.2,17.6,25.8,2.7,sad,M,direct_text_va_emo_row,True
p1_n4,p1_n4,1,4,2,1,-0.76,0.76,-0.9751033413209881,0.6638611139425437,90.3,24.1,20.9,18.3,sad,M,direct_text_va_emo_row,True
p1_n4,p1_n4,1,4,3,1,-0.76,0.76,-0.6963947891746968,0.8444006655188006,65.5,16.6,38.3,9.8,sad,M,direct_text_va_emo_row,True
p1_n4,p1_n4,1,4,4,1,-0.76,0.76,-0.7553954052026121,1.0,108.2,35.7,34.9,21.6,sad,M,direct_text_va_emo_row,True
p1_n4,p1_n4,1,4,5,1,-0.76,0.76,-0.9724610923661979,0.9675839541360614,72.3,33.1,38.1,21.4,sad,M,direct_text_va_emo_row,True
p1_n4,p1_n4,1,4,6,1,-0.76,0.76,-0.6566412741940748,1.0,78.3,19.8,11.3,10.1,sad,M,direct_text_va_emo_row,True
p1_n4,p1_n4,1,4,7,1,-0.76,0.76,-0.6421329107160011,1.0,91.0,11.5,73.7,6.2,sad,M,direct_text_va_emo_row,True
p1_n4,p1_n4,1,4,8,1,-0.76,0.76,-1.0,0.436230306984096,93.8,10.0,57.0,4.1,sad,M,direct_text_va_emo_row,True
p1_n4,p1_n4,1,4,9,1,-0.76,0.76,-0.7451953914963779,0.7634823229782366,68.7,20.1,30.6,10.3,sad,M,direct_text_va_emo_row,True
p1_n4,p1_n4,1,4,10,1,-0.76,0.76,-0.8456718985200872,0.6671397835010522,79.4,25.9,30.8,18.5,sad,M,direct_text_va_emo_row,True
p1_n5,p1_n5,1,5,1,1,-0.05,0.9,0.06106582787150994,0.80975845854523,96.6,9.3,25.1,6.2,neutral,M,direct_text_va_emo_row,True
p1_n5,p1_n5,1,5,2,1,-0.05,0.9,-0.37010733812407076,1.0,71.7,46.2,43.8,25.6,neutral,M,direct_text_va_emo_row,True
p1_n5,p1_n5,1,5,3,1,-0.05,0.9,0.13581602350567873,0.9427163595319855,86.9,39.5,43.0,21.3,neutral,M,direct_text_va_emo_row,True
p1_n5,p1_n5,1,5,4,1,-0.05,0.9,-0.5102185578329114,0.5801057583160747,82.1,29.5,5.0,12.3,neutral,M,direct_text_va_emo_row,True
p1_n5,p1_n5,1,5,5,1,-0.05,0.9,-0.003790969076281528,0.6854105549546966,78.0,11.5,7.8,10.6,neutral,M,direct_text_va_emo_row,True
p1_n5,p1_n5,1,5,6,1,-0.05,0.9,0.1054524905542991,0.5074438200273859,77.6,25.2,58.9,7.8,neutral,M,direct_text_va_emo_row,True
p1_n5,p1_n5,1,5,7,1,-0.05,0.9,0.0019219217907777836,0.9678947092988434,92.8,29.5,49.7,15.4,neutral,M,direct_text_va_emo_row,True
p1_n5,p1_n5,1,5,8,1,-0.05,0.9,0.2639390313933802,0.6763481744451241,88.6,39.3,28.1,14.5,neutral,M,direct_text_va_emo_row,True
p1_n5,p1_n5,1,5,9,1,-0.05,0.9,0.31334611927942524,1.0,91.4,28.1,34.7,10.6,neutral,M,direct_text_va_emo_row,True
p1_n5,p1_n5,1,5,10,1,-0.05,0.9,-0.33068050539057464,0.9956024365460127,86.6,31.4,39.2,14.2,neutral,M,direct_text_va_emo_row,True
p1_n6,p1_n6,1,6,1,1,0.12,0.88,0.2782329544388777,0.9307307552128249,86.3,24.5,26.3,13.9,surprise,M,direct_text_va_emo_row,True
p1_n6,p1_n6,1,6,2,1,0.12,0.88,-0.00940282475904286,0.9359469879097246,92.8,40.9,67.0,25.5,surprise,M,direct_text_va_emo_row,True
p1_n6,p1_n6,1,6,3,1,0.12,0.88,0.4123238976114182,1.0,92.9,46.7,38.0,25.8,surprise,M,direct_text_va_emo_row,True
p1_n6,p1_n6,1,6,4,1,0.12,0.88,0.04305544126174979,0.9347875819159848,85.4,36.7,57.2,19.8,surprise,M,direct_text_va_emo_row,True
p1_n6,p1_n6,1,6,5,1,0.12,0.88,0.2143029687661302,1.0,82.6,25.1,49.3,14.8,surprise,M,direct_text_va_emo_row,True
p1_n6,p1_n6,1,6,6,1,0.12,0.88,0.5816592490119165,0.6124788084184618,82.0,16.5,39.0,10.0,surprise,M,direct_text_va_emo_row,True
p1_n6,p1_n6,1,6,7,1,0.12,0.88,0.45228813253310785,0.9291302924253675,84.3,39.5,35.3,20.4,surprise,M,direct_text_va_emo_row,True
p1_n6,p1_n6,1,6,8,1,0.12,0.88,-0.27597570587143083,1.0,79.3,30.1,27.1,11.0,surprise,M,direct_text_va_emo_row,True
p1_n6,p1_n6,1,6,9,1,0.12,0.88,0.04972492677851127,1.0,101.4,45.3,34.3,23.8,surprise,M,direct_text_va_emo_row,True
