comparison,scenario_id,subject,trial,prompt_type,modality_label,repr_a,repr_b,run_id_a,run_id_b,A_D1,A_D2,A_D3,A_D4,A_D5,A_D6,B_D1,B_D2,B_D3,B_D4,B_D5,B_D6,overall_a,overall_b,delta_overall,winner_overall,winner_d6,d6_delta,winner,source_affect_id,emotion_label,risk_tier,valence,arousal,alignment_matched_by,alignment_match_ok,judge_raw,scored_at_utc
VA:PHYSIO,p1_n1,10,1,minimal_adaptive,DEFAULT,VA,PHYSIO,c09325fa-ac11-45b4-aa30-841861eacddd,349bcaf3-d265-4920-b057-1ad496d83f9e,4,4,5,4,5,4,4,4,4,4,5,4,85.0,80.0,-5.0,A,tie,0,A,p1_n1,fearful,M,-0.3,0.25,direct_text_va_emo_row,True,"{
  ""A"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 5,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response A captures the user's desire to explore options without focusing on pure circuit design, showing good emotional calibration."",
      ""D2"": ""The response suggests appropriate roles that align with the user's intent to broaden career opportunities."",
      ""D3"": ""It provides concrete job options and actionable advice, effectively advancing the user's goal."",
      ""D4"": ""The structure is clear and easy to follow, with relevant details that match the user's cognitive load."",
      ""D5"": ""The tone is supportive and respectful, encouraging exploration without pressure."",
      ""D6"": ""The response shows evidence of using the emotional signal by addressing the user's desire for broader opportunities.""
    }
  },
  ""B"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 4,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response B also aligns well with the user's emotional state, recognizing the intent to broaden career options."",
      ""D2"": ""It suggests relevant roles, but the pacing and detail could be slightly improved."",
      ""D3"": ""While it provides useful information, it is less direct in advancing the user's task compared to Response A."",
      ""D4"": ""The response is clear and structured, but slightly more verbose than necessary."",
      ""D5"": ""The tone is respectful and supportive, providing encouragement without pressure."",
      ""D6"": ""The response utilizes the emotional signal effectively, though it could be more tailored.""
    }
  }
}",2026-03-18T17:23:08.738859+00:00
VA:PHYSIO,p1_n1,9,1,minimal_adaptive,DEFAULT,VA,PHYSIO,1ba00520-14c3-44ae-a233-293eba971862,4f69982e-df9d-4d42-a2ad-3d12d4f0b25e,4,4,5,4,5,4,4,4,4,4,5,4,85.0,80.0,-5.0,A,tie,0,A,p1_n1,fearful,M,-0.3,0.25,direct_text_va_emo_row,True,"{
  ""A"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 5,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response A captures the user's intent to explore career options without focusing on strong emotions, maintaining a supportive tone."",
      ""D2"": ""The response suggests various career paths that align well with the user's desire to broaden opportunities, showing a good strategy fit."",
      ""D3"": ""The response provides concrete and actionable job options that directly advance the user's goal."",
      ""D4"": ""The structure is clear and easy to follow, with a good level of detail for the user's query."",
      ""D5"": ""The tone is respectful and supportive, encouraging the user without pressure."",
      ""D6"": ""The response shows evidence of using the emotional signal by maintaining a supportive tone and providing relevant options.""
    }
  },
  ""B"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 4,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response B also captures the user's intent well, maintaining a positive and encouraging tone."",
      ""D2"": ""The suggested career paths are appropriate, but slightly less tailored to the user's specific request compared to A."",
      ""D3"": ""While it provides useful options, some suggestions are more generic and less actionable than those in A."",
      ""D4"": ""The response is clear and well-structured, making it easy to follow."",
      ""D5"": ""The tone is respectful and supportive, providing encouragement without pressure."",
      ""D6"": ""The response shows some evidence of using the emotional signal, but it could be more tailored to the user's specific emotional state.""
    }
  }
}",2026-03-18T17:23:08.739126+00:00
VA:PHYSIO,p1_n1,1,1,minimal_adaptive,DEFAULT,VA,PHYSIO,3573b065-e660-4796-b234-c923252a67ee,d17e9449-a818-47f6-8ba9-2eb325d2cfa7,4,4,5,4,5,4,4,4,5,4,5,4,85.0,85.0,0.0,tie,tie,0,tie,p1_n1,fearful,M,-0.3,0.25,direct_text_va_emo_row,True,"{
  ""A"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 5,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response A captures the user's intent to explore career options without focusing on pure circuit design, showing good emotional calibration."",
      ""D2"": ""The response provides a strategy that aligns well with the user's desire to broaden career opportunities, though it could be slightly more tailored."",
      ""D3"": ""The suggestions are actionable and relevant, directly advancing the user's goal of exploring job options."",
      ""D4"": ""The structure is clear and easy to follow, with a good level of detail for the user's cognitive load."",
      ""D5"": ""The tone is supportive and respectful, encouraging the user without pressure."",
      ""D6"": ""There is clear evidence of using the emotional signal to adapt the response, though it could be more deeply integrated.""
    }
  },
  ""B"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 5,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response B also captures the user's intent well, showing good emotional calibration."",
      ""D2"": ""The response matches the user's emotional state and task, though it could be slightly more specific."",
      ""D3"": ""The content is useful and actionable, effectively advancing the user's goal."",
      ""D4"": ""The response is clear and well-structured, appropriate for the user's cognitive load."",
      ""D5"": ""The tone is supportive and respectful, providing encouragement without pressure."",
      ""D6"": ""There is evidence of using the emotional signal, but it could be more effectively integrated into the response.""
    }
  }
}",2026-03-18T17:23:08.739354+00:00
VA:PHYSIO,p1_n1,7,1,minimal_adaptive,DEFAULT,VA,PHYSIO,d044f37c-bdc4-4a24-b117-6a68fd08d4bd,f98860b5-77cf-42cf-a6ad-f695eb24bde4,4,4,5,4,5,4,4,4,5,4,5,4,85.0,85.0,0.0,tie,tie,0,tie,p1_n1,fearful,M,-0.3,0.25,direct_text_va_emo_row,True,"{
  ""A"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 5,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response A captures the user's exploratory mindset well, though it could be slightly more attuned to the user's uncertainty about career paths."",
      ""D2"": ""The response provides a good strategy for exploring various career options, aligning well with the user's intent."",
      ""D3"": ""The suggestions are concrete and actionable, directly advancing the user's goal of exploring career opportunities."",
      ""D4"": ""The structure is clear and easy to follow, with a good level of detail for the user's cognitive load."",
      ""D5"": ""The tone is supportive and respectful, encouraging the user without pressure."",
      ""D6"": ""There is clear evidence of using the emotional signal to tailor the response, though it could be slightly more personalized.""
    }
  },
  ""B"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 5,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response B also captures the user's exploratory mindset, similar to Response A, but slightly less focused on the user's emotional state."",
      ""D2"": ""The response matches the user's intent well, providing a variety of career options."",
      ""D3"": ""The suggestions are actionable and relevant, effectively advancing the user's goal."",
      ""D4"": ""The clarity and structure are good, making it easy to follow."",
      ""D5"": ""The tone is supportive and respectful, encouraging exploration without pressure."",
      ""D6"": ""There is evidence of using the emotional signal, but it feels slightly less personalized than in Response A.""
    }
  }
}",2026-03-18T17:23:08.739554+00:00
VA:PHYSIO,p1_n1,3,1,minimal_adaptive,DEFAULT,VA,PHYSIO,ad921dff-5f87-4478-8665-0a9235fa0726,c8cca59b-87e5-4e98-ba0f-ed4138cdd855,4,4,5,4,5,4,4,4,5,4,5,4,85.0,85.0,0.0,tie,tie,0,tie,p1_n1,fearful,M,-0.3,0.25,direct_text_va_emo_row,True,"{
  ""A"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 5,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response A captures the user's intent to explore career options without focusing on strong emotions, maintaining a supportive tone."",
      ""D2"": ""The response provides a strategy that aligns well with the user's desire for diverse career paths, offering practical suggestions."",
      ""D3"": ""The suggestions are actionable and relevant, directly addressing the user's request for job options."",
      ""D4"": ""The structure is clear and easy to follow, with a logical flow of ideas."",
      ""D5"": ""The tone is respectful and encouraging, promoting exploration without pressure."",
      ""D6"": ""The response shows evidence of using the emotional signal by providing a supportive and exploratory tone.""
    }
  },
  ""B"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 5,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response B also captures the user's intent well, maintaining a supportive tone without overreacting."",
      ""D2"": ""The response matches the user's emotional state and provides relevant career options."",
      ""D3"": ""The suggestions are practical and directly related to the user's request for job opportunities."",
      ""D4"": ""The response is structured clearly, making it easy to follow."",
      ""D5"": ""The tone is respectful and encouraging, fostering a positive exploration of options."",
      ""D6"": ""The response demonstrates some use of the emotional signal, maintaining a supportive tone throughout.""
    }
  }
}",2026-03-18T17:23:08.742337+00:00
VA:PHYSIO,p1_n1,6,1,minimal_adaptive,DEFAULT,VA,PHYSIO,00b6034c-1849-41f9-9824-f8cd6c88b033,56a2abea-ee89-4c3c-9e49-973c624794d8,4,4,5,4,5,4,4,4,5,4,5,4,85.0,85.0,0.0,tie,tie,0,tie,p1_n1,fearful,M,-0.3,0.25,direct_text_va_emo_row,True,"{
  ""A"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 5,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response A captures the user's intent to explore career options without focusing on circuit design, showing good emotional calibration."",
      ""D2"": ""The response provides a strategy that aligns well with the user's desire for broader opportunities, though it could be slightly more tailored."",
      ""D3"": ""The suggestions are actionable and relevant, directly advancing the user's goal of exploring career paths."",
      ""D4"": ""The structure is clear and easy to follow, with a good level of detail for the user's cognitive load."",
      ""D5"": ""The tone is supportive and respectful, encouraging the user without pressure."",
      ""D6"": ""There is clear evidence of using the emotional signal to adapt the response, though it could be slightly more personalized.""
    }
  },
  ""B"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 5,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response B also captures the user's intent well, maintaining a positive tone that aligns with their exploration of options."",
      ""D2"": ""The response strategy is appropriate, matching the user's emotional state and task, though it could be slightly more specific."",
      ""D3"": ""The content is useful and actionable, effectively advancing the user's goal."",
      ""D4"": ""The response is clear and well-structured, making it easy for the user to follow."",
      ""D5"": ""The tone is respectful and supportive, encouraging the user without any pressure."",
      ""D6"": ""The emotional signal is utilized effectively, with a good adaptation to the user's state, though it remains somewhat generic.""
    }
  }
}",2026-03-18T17:23:08.801160+00:00
VA:PHYSIO,p1_n1,8,1,minimal_adaptive,DEFAULT,VA,PHYSIO,9d393d77-a357-4593-aec8-49005747b01b,2e730246-b77f-4c03-9433-d70110a60487,4,4,4,4,5,4,4,4,4,4,5,4,80.0,80.0,0.0,tie,tie,0,tie,p1_n1,fearful,M,-0.3,0.25,direct_text_va_emo_row,True,"{
  ""A"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 4,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response A captures the user's intent to explore career options and maintains a supportive tone, though it could be slightly more tailored to the user's specific emotional state."",
      ""D2"": ""The response suggests appropriate career paths that align with the user's desire to avoid pure circuit design, showing a good match in strategy."",
      ""D3"": ""It provides useful and actionable suggestions for career paths, though it could include more specific examples."",
      ""D4"": ""The structure is clear and easy to follow, with a logical flow of ideas."",
      ""D5"": ""The tone is respectful and supportive, encouraging the user to explore their options without pressure."",
      ""D6"": ""The response shows evidence of using the emotional signal by providing a supportive and encouraging tone.""
    }
  },
  ""B"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 4,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response B also captures the user's intent and maintains a positive tone, similar to Response A."",
      ""D2"": ""It suggests relevant career paths that align with the user's goals, demonstrating a good strategy fit."",
      ""D3"": ""The response is useful and actionable, providing a variety of career options."",
      ""D4"": ""The structure is clear and well-organized, making it easy to follow."",
      ""D5"": ""The tone is respectful and supportive, encouraging exploration without pressure."",
      ""D6"": ""The response shows evidence of using the emotional signal by maintaining a supportive tone.""
    }
  }
}",2026-03-18T17:23:09.206284+00:00
VA:PHYSIO,p1_n1,5,1,minimal_adaptive,DEFAULT,VA,PHYSIO,cf383496-1bc2-4dff-bc3a-96e1de8f5231,fa1e42a4-54dd-416f-a49c-c3c288454517,4,4,4,4,5,3,4,5,5,5,5,4,80.0,95.0,15.0,B,B,1,B,p1_n1,fearful,M,-0.3,0.25,direct_text_va_emo_row,True,"{
  ""A"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 4,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 3,
    ""rationale"": {
      ""D1"": ""Response A captures a positive emotional tone and encourages the user, but it could be slightly more tailored to the user's specific feelings of uncertainty."",
      ""D2"": ""The response suggests appropriate career paths, aligning well with the user's desire to broaden options, though it could be more directly linked to the user's emotional state."",
      ""D3"": ""The suggestions are relevant and actionable, providing a good range of options for the user."",
      ""D4"": ""The structure is clear and easy to follow, with a logical flow of ideas."",
      ""D5"": ""The tone is respectful and supportive, encouraging exploration without pressure."",
      ""D6"": ""There is some evidence of emotional signal use, but it feels somewhat generic and could be more personalized.""
    }
  },
  ""B"": {
    ""D1"": 4,
    ""D2"": 5,
    ""D3"": 5,
    ""D4"": 5,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response B maintains a positive tone and acknowledges the user's intent to explore options, though it could be slightly more attuned to the user's emotional state."",
      ""D2"": ""The response provides a well-matched strategy, offering specific career paths that align with the user's goals."",
      ""D3"": ""The content is highly useful and actionable, directly advancing the user's inquiry with concrete suggestions."",
      ""D4"": ""The response is well-structured, making it easy to digest and follow."",
      ""D5"": ""The tone is consistently respectful and supportive, fostering a safe environment for exploration."",
      ""D6"": ""There is clear evidence of emotional signal use, with the response adapting well to the user's context.""
    }
  }
}",2026-03-18T17:23:09.290170+00:00
VA:PHYSIO,p1_n1,4,1,minimal_adaptive,DEFAULT,VA,PHYSIO,89e1a1e9-4fd6-46bc-a200-f5af47317094,f38cbb59-29c6-4d39-a9f1-ca8e920c3a05,4,4,4,4,5,4,4,4,4,4,5,4,80.0,80.0,0.0,tie,tie,0,tie,p1_n1,fearful,M,-0.3,0.25,direct_text_va_emo_row,True,"{
  ""A"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 4,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response A captures the user's intent to explore career options without focusing on strong emotions, maintaining a supportive tone."",
      ""D2"": ""The response suggests various career paths that align with the user's desire to broaden opportunities, showing a good match to the emotional state."",
      ""D3"": ""It provides actionable suggestions that are relevant to the user's background and goals, advancing the task effectively."",
      ""D4"": ""The structure is clear and easy to follow, with well-prioritized options for the user."",
      ""D5"": ""The tone is respectful and supportive, encouraging the user to explore their options without pressure."",
      ""D6"": ""The response shows evidence of using the emotional signal by providing a supportive and encouraging tone.""
    }
  },
  ""B"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 4,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response B also captures the user's intent well, maintaining a supportive tone without overreacting."",
      ""D2"": ""It suggests various career paths that align with the user's desire to broaden opportunities, matching the emotional state."",
      ""D3"": ""The response is actionable and relevant, providing useful suggestions for the user's career exploration."",
      ""D4"": ""The structure is clear and easy to follow, with prioritized options for the user."",
      ""D5"": ""The tone is respectful and supportive, encouraging the user to explore their options without pressure."",
      ""D6"": ""The response shows evidence of using the emotional signal by providing a supportive and encouraging tone.""
    }
  }
}",2026-03-18T17:23:09.467168+00:00
VA:PHYSIO,p1_n1,2,1,minimal_adaptive,DEFAULT,VA,PHYSIO,4123bdcb-7262-4ed7-ad7a-f8862b284f2d,3c3a81e7-d1cc-4c2e-8666-3f75b3091741,4,4,5,4,5,4,4,4,4,4,5,3,85.0,80.0,-5.0,A,A,-1,A,p1_n1,fearful,M,-0.3,0.25,direct_text_va_emo_row,True,"{
  ""A"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 5,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 4,
    ""rationale"": {
      ""D1"": ""Response A captures the user's intent to explore career options without focusing on circuit design, showing good emotional calibration."",
      ""D2"": ""The response provides a strategy that aligns well with the user's desire to broaden career opportunities, offering various relevant job options."",
      ""D3"": ""The suggestions are actionable and directly related to the user's request, advancing their goal effectively."",
      ""D4"": ""The structure is clear and easy to follow, with a good level of detail for the user's cognitive load."",
      ""D5"": ""The tone is supportive and respectful, encouraging the user without pressure."",
      ""D6"": ""The response shows evidence of using the emotional signal by providing a range of options that align with the user's exploratory mindset.""
    }
  },
  ""B"": {
    ""D1"": 4,
    ""D2"": 4,
    ""D3"": 4,
    ""D4"": 4,
    ""D5"": 5,
    ""D6"": 3,
    ""rationale"": {
      ""D1"": ""Response B also captures the user's intent but is slightly less specific in emotional calibration compared to A."",
      ""D2"": ""The response matches the user's emotional state and provides relevant job options, though slightly less tailored than A."",
      ""D3"": ""While the suggestions are useful, they are not as comprehensive as those in A, making it less effective in advancing the user's goal."",
      ""D4"": ""The clarity and structure are good, but it lacks the prioritization seen in A."",
      ""D5"": ""The tone is respectful and supportive, providing a safe environment for the user."",
      ""D6"": ""The response shows some personalization but could have been produced without the emotional signal, indicating less effective signal use.""
    }
  }
}",2026-03-18T17:23:09.662081+00:00
